LapVar_orig,LapVar_inpainted,GradRMS_orig,GradRMS_inpainted,file,mask_coverage_%
254.62,144.82,14.37,12.54,21.G.R 3.jpg,1.512
271.12,156.28,19.01,17.12,28.B.T 2.jpg,1.604
258.13,142.85,17.45,15.5,28.B.T 6.jpg,1.585
258.92,153.12,18.95,17.16,42.SZ.K 2.jpg,1.433
278.34,155.33,17.04,14.99,ROK.A.J 1.jpg,1.736
276.64,157.21,16.64,14.65,ROK.A.J 2.jpg,1.72
265.67,157.41,17.17,15.23,ROK.A.J 3.jpg,1.704
266.78,152.91,16.82,14.78,ROK.A.J 4.jpg,1.711
287.78,161.16,20.37,18.14,ROK.K.M 1.jpg,1.689
313.67,203.77,20.26,18.26,ROK.K.M 5.jpg,1.71
275.24,161.56,14.66,12.77,W.BI.M 6.jpg,1.572
