LapVar_orig,LapVar_inpainted,GradRMS_orig,GradRMS_inpainted,file,mask_coverage_%
254.62,144.82,14.37,12.54,21_G_R_3.jpg,1.512
271.12,156.28,19.01,17.12,28_B_T_2.jpg,1.604
258.13,142.85,17.45,15.5,28_B_T_6.jpg,1.585
258.92,153.12,18.95,17.16,42_SZ_K_2.jpg,1.433
278.34,155.33,17.04,14.99,ROK_A_J_1.jpg,1.736
276.64,157.21,16.64,14.65,ROK_A_J_2.jpg,1.72
265.67,157.41,17.17,15.23,ROK_A_J_3.jpg,1.704
266.78,152.91,16.82,14.78,ROK_A_J_4.jpg,1.711
287.78,161.16,20.37,18.14,ROK_K_M_1.jpg,1.689
313.67,203.77,20.26,18.26,ROK_K_M_5.jpg,1.71
275.24,161.56,14.66,12.77,W_BI_M_6.jpg,1.572
